prompt,classes,answer_index
"_implements, _workers_to_threads = _workers_to_threads, _implements
@_implements(_fft.fftn)
def fftn(x, s=None, axes=None, norm=None, overwrite_x=False, workers=None, planner_effort=None, auto_align_input=True, auto_contiguous=True):
    """"""Perform an n-D FFT.

    The first six arguments are as per :func:`scipy.fft.fftn`;
    the rest of the arguments are documented
    in the :ref:`additional argument docs<interfaces_additional_args>`.
    """"""","["""""" 
    threads = _workers_to_threads(workers)
    return numpy_fft.fftn(x, s, axes, norm, overwrite_x, planner_effort, threads, auto_align_input, auto_contiguous)
"""""", """""" 
    threads = _implements(workers)
    return numpy_fft.fftn(x, s, axes, norm, overwrite_x, planner_effort, threads, auto_align_input, auto_contiguous)
""""""]",1
"LabelLoader, ImageLoader = ImageLoader, LabelLoader
def get_training_data_set():
    """"""
    获得训练数据集
    原文为60000的数据集，但训练速度过于缓慢，这里
    """"""","["""""" 
    image_loader = ImageLoader('./data/train-images-idx3-ubyte', 60000)
    label_loader = LabelLoader('./data/train-labels-idx1-ubyte', 60000)
    return (image_loader.load(), label_loader.load())
"""""", """""" 
    image_loader = LabelLoader('./data/train-images-idx3-ubyte', 60000)
    label_loader = ImageLoader('./data/train-labels-idx1-ubyte', 60000)
    return (image_loader.load(), label_loader.load())
""""""]",1
"prompt, get_args = get_args, prompt
def get_range_using_urls(self, disable_args=False):
    """"""Returns a range of chapters using start and end urls as input""""""","["""""" 
    args = get_args()
    if args.page:
        start = (self.app.crawler.index_of_chapter(args.page[0]) - 1)
    else:
        start = (- 1)
    if (args.page and (len(args.page) > 1)):
        stop = (self.app.crawler.index_of_chapter(args.page[1]) - 1)
    else:
        stop = (- 1)
    if (args.suppress and (start < 0)):
        return (0, (len(self.app.crawler.chapters) - 1))
    if (disable_args or (start < 0)):

        def _validator(is_optional):

            def _internal_validator(val):
                try:
                    if (is_optional and (not val)):
                        return True
                    if (self.app.crawler.index_of_chapter(val) > 0):
                        return True
                except Exception:
                    pass
                return 'No such chapter found given the url'
            return _internal_validator
        answer = prompt([{'type': 'autocomplete', 'name': 'start_url', 'message': 'Enter start url:', 'choices': [chap['url'] for chap in self.app.crawler.chapters], 'validate': _validator(False)}, {'type': 'autocomplete', 'name': 'stop_url', 'message': 'Enter final url (optional):', 'choices': [chap['url'] for chap in self.app.crawler.chapters], 'validate': _validator(True)}], style=Style([('selected', 'fg:#000000 bold'), ('answer', 'fg:#f44336 bold'), ('text', '')]))
        start = (self.app.crawler.index_of_chapter(answer['start_url']) - 1)
        stop = (self.app.crawler.index_of_chapter(answer['stop_url']) - 1)
    if (stop < 0):
        stop = (len(self.app.crawler.chapters) - 1)
    elif (stop < start):
        stop = start
    return (start, stop)
"""""", """""" 
    args = prompt()
    if args.page:
        start = (self.app.crawler.index_of_chapter(args.page[0]) - 1)
    else:
        start = (- 1)
    if (args.page and (len(args.page) > 1)):
        stop = (self.app.crawler.index_of_chapter(args.page[1]) - 1)
    else:
        stop = (- 1)
    if (args.suppress and (start < 0)):
        return (0, (len(self.app.crawler.chapters) - 1))
    if (disable_args or (start < 0)):

        def _validator(is_optional):

            def _internal_validator(val):
                try:
                    if (is_optional and (not val)):
                        return True
                    if (self.app.crawler.index_of_chapter(val) > 0):
                        return True
                except Exception:
                    pass
                return 'No such chapter found given the url'
            return _internal_validator
        answer = get_args([{'type': 'autocomplete', 'name': 'start_url', 'message': 'Enter start url:', 'choices': [chap['url'] for chap in self.app.crawler.chapters], 'validate': _validator(False)}, {'type': 'autocomplete', 'name': 'stop_url', 'message': 'Enter final url (optional):', 'choices': [chap['url'] for chap in self.app.crawler.chapters], 'validate': _validator(True)}], style=Style([('selected', 'fg:#000000 bold'), ('answer', 'fg:#f44336 bold'), ('text', '')]))
        start = (self.app.crawler.index_of_chapter(answer['start_url']) - 1)
        stop = (self.app.crawler.index_of_chapter(answer['stop_url']) - 1)
    if (stop < 0):
        stop = (len(self.app.crawler.chapters) - 1)
    elif (stop < start):
        stop = start
    return (start, stop)
""""""]",1
"_encode_without_bom, lru_cache = lru_cache, _encode_without_bom
@lru_cache(maxsize=1000)
def _cached_encode_search(string: str, encoding: str) -> bytes:
    """"""A cached version of encode used for search pattern.""""""","["""""" 
    return _encode_without_bom(string, encoding)
"""""", """""" 
    return lru_cache(string, encoding)
""""""]",1
"find_and_replace_header, SpdxInfo = SpdxInfo, find_and_replace_header
def test_find_and_replace_keep_old_comment():
    """"""When encountering a comment that does not contain copyright and
    licensing information, preserve it below the REUSE header.
    """"""","["""""" 
    spdx_info = SpdxInfo({'GPL-3.0-or-later'}, {'SPDX-FileCopyrightText: Jane Doe'})
    text = cleandoc('\n        # Hello, world!\n\n        pass\n        ')
    expected = cleandoc('\n        # SPDX-FileCopyrightText: Jane Doe\n        #\n        # SPDX-License-Identifier: GPL-3.0-or-later\n\n        # Hello, world!\n\n        pass\n        ')
    assert (find_and_replace_header(text, spdx_info) == expected)
"""""", """""" 
    spdx_info = find_and_replace_header({'GPL-3.0-or-later'}, {'SPDX-FileCopyrightText: Jane Doe'})
    text = cleandoc('\n        # Hello, world!\n\n        pass\n        ')
    expected = cleandoc('\n        # SPDX-FileCopyrightText: Jane Doe\n        #\n        # SPDX-License-Identifier: GPL-3.0-or-later\n\n        # Hello, world!\n\n        pass\n        ')
    assert (SpdxInfo(text, spdx_info) == expected)
""""""]",1
"shape, eye = eye, shape
def svdEst(dataMat, user, simMeas, item):
    """"""svdEst( )
    Args:
        dataMat         训练数据集
        user            用户编号
        simMeas         相似度计算方法
        item            未评分的物品编号
    Returns:
        ratSimTotal/simTotal     评分（0～5之间的值）
    """"""","["""""" 
    n = shape(dataMat)[1]
    simTotal = 0.0
    ratSimTotal = 0.0
    (U, Sigma, VT) = la.svd(dataMat)
    Sig4 = mat((eye(4) * Sigma[:4]))
    xformedItems = ((dataMat.T * U[:, :4]) * Sig4.I)
    for j in range(n):
        userRating = dataMat[(user, j)]
        if ((userRating == 0) or (j == item)):
            continue
        similarity = simMeas(xformedItems[item, :].T, xformedItems[j, :].T)
        print(('the %d and %d similarity is: %f' % (item, j, similarity)))
        simTotal += similarity
        ratSimTotal += (similarity * userRating)
    if (simTotal == 0):
        return 0
    else:
        return (ratSimTotal / simTotal)
"""""", """""" 
    n = eye(dataMat)[1]
    simTotal = 0.0
    ratSimTotal = 0.0
    (U, Sigma, VT) = la.svd(dataMat)
    Sig4 = mat((shape(4) * Sigma[:4]))
    xformedItems = ((dataMat.T * U[:, :4]) * Sig4.I)
    for j in range(n):
        userRating = dataMat[(user, j)]
        if ((userRating == 0) or (j == item)):
            continue
        similarity = simMeas(xformedItems[item, :].T, xformedItems[j, :].T)
        print(('the %d and %d similarity is: %f' % (item, j, similarity)))
        simTotal += similarity
        ratSimTotal += (similarity * userRating)
    if (simTotal == 0):
        return 0
    else:
        return (ratSimTotal / simTotal)
""""""]",1
"BB2SearchQuerySearchEngineRetriever, BB2SearchQueryFaissIndexRetriever = BB2SearchQueryFaissIndexRetriever, BB2SearchQuerySearchEngineRetriever
def retriever_factory(opt: Opt, dictionary: DictionaryAgent, shared=None) -> Optional[RagRetriever]:
    """"""
    Build retriever.

    Override to build special BB2 Search Retrievers, if necessary

    :param opt:
        ParlAI Opt
    :param dictionary:
        dictionary agent
    :param shared:
        shared objects.

    :return retriever:
        return a retriever for RAG.
    """"""","["""""" 
    if opt.get('converting'):
        return None
    retriever = RetrieverType(opt['rag_retriever_type'])
    if (retriever is RetrieverType.SEARCH_ENGINE):
        return BB2SearchQuerySearchEngineRetriever(opt, dictionary, shared=shared)
    elif (retriever is RetrieverType.SEARCH_TERM_FAISS):
        return BB2SearchQueryFaissIndexRetriever(opt, dictionary, shared=shared)
    elif (retriever is RetrieverType.OBSERVATION_ECHO_RETRIEVER):
        return BB2ObservationEchoRetriever(opt, dictionary, shared=shared)
    else:
        return rag_retriever_factory(opt, dictionary, shared=shared)
"""""", """""" 
    if opt.get('converting'):
        return None
    retriever = RetrieverType(opt['rag_retriever_type'])
    if (retriever is RetrieverType.SEARCH_ENGINE):
        return BB2SearchQueryFaissIndexRetriever(opt, dictionary, shared=shared)
    elif (retriever is RetrieverType.SEARCH_TERM_FAISS):
        return BB2SearchQuerySearchEngineRetriever(opt, dictionary, shared=shared)
    elif (retriever is RetrieverType.OBSERVATION_ECHO_RETRIEVER):
        return BB2ObservationEchoRetriever(opt, dictionary, shared=shared)
    else:
        return rag_retriever_factory(opt, dictionary, shared=shared)
""""""]",1
"_add_step, _run_wait_hook = _run_wait_hook, _add_step
def assert_page_contains_text(text):
    """"""Assert the given text is present anywhere in the page source

    Parameters:
    text : value
    """"""","["""""" 
    _add_step(f""Assert '{text}' is present in the page"")
    _run_wait_hook()
    assert (text in get_browser().page_source), f""text '{text}' not found in the page""
    _screenshot_on_step()
"""""", """""" 
    _run_wait_hook(f""Assert '{text}' is present in the page"")
    _add_step()
    assert (text in get_browser().page_source), f""text '{text}' not found in the page""
    _screenshot_on_step()
""""""]",1
"decode_arch_def, resolve_bn_args = resolve_bn_args, decode_arch_def
def _gen_efficientnet_edge(variant, channel_multiplier=1.0, depth_multiplier=1.0, group_size=None, pretrained=False, **kwargs):
    """""" Creates an EfficientNet-EdgeTPU model

    Ref impl: https://github.com/tensorflow/tpu/tree/master/models/official/efficientnet/edgetpu
    """"""","["""""" 
    arch_def = [['er_r1_k3_s1_e4_c24_fc24_noskip'], ['er_r2_k3_s2_e8_c32'], ['er_r4_k3_s2_e8_c48'], ['ir_r5_k5_s2_e8_c96'], ['ir_r4_k5_s1_e8_c144'], ['ir_r2_k5_s2_e8_c192']]
    round_chs_fn = partial(round_channels, multiplier=channel_multiplier)
    model_kwargs = dict(block_args=decode_arch_def(arch_def, depth_multiplier, group_size=group_size), num_features=round_chs_fn(1280), stem_size=32, round_chs_fn=round_chs_fn, norm_layer=(kwargs.pop('norm_layer', None) or partial(nn.BatchNorm2d, **resolve_bn_args(kwargs))), act_layer=resolve_act_layer(kwargs, 'relu'), **kwargs)
    model = _create_effnet(variant, pretrained, **model_kwargs)
    return model
"""""", """""" 
    arch_def = [['er_r1_k3_s1_e4_c24_fc24_noskip'], ['er_r2_k3_s2_e8_c32'], ['er_r4_k3_s2_e8_c48'], ['ir_r5_k5_s2_e8_c96'], ['ir_r4_k5_s1_e8_c144'], ['ir_r2_k5_s2_e8_c192']]
    round_chs_fn = partial(round_channels, multiplier=channel_multiplier)
    model_kwargs = dict(block_args=resolve_bn_args(arch_def, depth_multiplier, group_size=group_size), num_features=round_chs_fn(1280), stem_size=32, round_chs_fn=round_chs_fn, norm_layer=(kwargs.pop('norm_layer', None) or partial(nn.BatchNorm2d, **decode_arch_def(kwargs))), act_layer=resolve_act_layer(kwargs, 'relu'), **kwargs)
    model = _create_effnet(variant, pretrained, **model_kwargs)
    return model
""""""]",1
"spinner, K8sProxy = K8sProxy, spinner
@click.command(help=Texts.SHORT_HELP, short_help=Texts.SHORT_HELP, cls=AliasCmd, alias='u')
@common_options(admin_command=True)
@click.pass_context
def upgrade(ctx: click.Context):
    """"""
    Upgrade users after Nauta upgrade.
    """"""","["""""" 
    with spinner(text=Texts.UPGRADE_IN_PROGRESS):
        try:
            users: List[User] = User.list()
            with K8sProxy(NAUTAAppNames.GIT_REPO_MANAGER, number_of_retries_wait_for_readiness=60) as proxy:
                grm_client = GitRepoManagerClient(host='127.0.0.1', port=proxy.tunnel_port)
                for user in users:
                    grm_user = grm_client.get_user(user.name)
                    if (not grm_user):
                        grm_client.add_nauta_user(user.name)
        except Exception:
            handle_error(logger, Texts.UPGRADE_FAILED, Texts.UPGRADE_FAILED, add_verbosity_msg=(ctx.obj.verbosity == 0))
            sys.exit(1)
    click.echo(Texts.UPGRADE_SUCCEEDED)
"""""", """""" 
    with K8sProxy(text=Texts.UPGRADE_IN_PROGRESS):
        try:
            users: List[User] = User.list()
            with spinner(NAUTAAppNames.GIT_REPO_MANAGER, number_of_retries_wait_for_readiness=60) as proxy:
                grm_client = GitRepoManagerClient(host='127.0.0.1', port=proxy.tunnel_port)
                for user in users:
                    grm_user = grm_client.get_user(user.name)
                    if (not grm_user):
                        grm_client.add_nauta_user(user.name)
        except Exception:
            handle_error(logger, Texts.UPGRADE_FAILED, Texts.UPGRADE_FAILED, add_verbosity_msg=(ctx.obj.verbosity == 0))
            sys.exit(1)
    click.echo(Texts.UPGRADE_SUCCEEDED)
""""""]",1
